film,year_film,gg_nominee_Best Motion Picture - Drama,gg_winner_Best Motion Picture - Drama,gg_nominee_Best Motion Picture - Musical or Comedy,gg_winner_Best Motion Picture - Musical or Comedy,gg_nominee_Best Performance by an Actress in a Motion Picture - Drama,gg_winner_Best Performance by an Actress in a Motion Picture - Drama,gg_nominee_Best Performance by an Actor in a Motion Picture - Drama,gg_winner_Best Performance by an Actor in a Motion Picture - Drama,gg_nominee_Best Performance by an Actor in a Motion Picture - Musical or Comedy,gg_winner_Best Performance by an Actor in a Motion Picture - Musical or Comedy,gg_nominee_Best Performance by an Actress in a Supporting Role in any Motion Picture,gg_winner_Best Performance by an Actress in a Supporting Role in any Motion Picture,gg_nominee_Best Performance by an Actor in a Supporting Role in any Motion Picture,gg_winner_Best Performance by an Actor in a Supporting Role in any Motion Picture,gg_nominee_Best Director - Motion Picture,gg_winner_Best Director - Motion Picture,gg_nominee_Best Screenplay - Motion Picture,gg_winner_Best Screenplay - Motion Picture,gg_nominee_Best Original Score - Motion Picture,gg_winner_Best Original Score - Motion Picture,gg_nominee_Best Motion Picture - Foreign Language,gg_winner_Best Motion Picture - Foreign Language,gg_nominee_Best Original Song - Motion Picture,gg_winner_Best Original Song - Motion Picture,gg_nominee_Best Performance by an Actress in a Motion Picture - Musical or Comedy,gg_winner_Best Performance by an Actress in a Motion Picture - Musical or Comedy,gg_nominee_Best Motion Picture - Animated,gg_winner_Best Motion Picture - Animated,imdb_id
" Remains of the Day, The",1993,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0107943
"$1,000,000 Duck",1971,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0066728
'Round Midnight,1986,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0090557
"'night, Mother",1986,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0117093
(500) Days of Summer,2009,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1022603
10,1979,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,23289160
101 Dalmatians,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0115433
12 Angry Men (1957),1957,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0050083
12 Years a Slave,2013,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,2024544
127 Hours,2010,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1542344
1492: Conquest Of Paradise,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0103594
1776,1972,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0068156
1917,2019,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,8579674
20th Century Women,2016,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4385888
25th Hour,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0307901
40 Carats,1973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0070068
5 Fingers,1952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0044314
50/50,2011,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2322441
8 Mile,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0298203
99 Homes,2015,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2891174
A Beautiful Mind,2001,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0268978
A Bug's Life,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0120623
A History of Violence,2005,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0399146
A Man And A Woman,1966,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0079520
A Man Could Get Killed,1966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0060662
A Most Violent Year,2014,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2937898
A Place In The Sun,1951,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0043924
A Single Man,2009,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1315981
A Streetcar Named Desire (1951),1951,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0044081
A Thousand Acres,1997,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0120323
A Walk in the Clouds,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0114887
