Title_GoldenGlobes,Title_Oscars,Similarity,Verification,Year_GG,Year_Oscars,year_film_x,year_award,ceremony_x,category_x,nominee,film_x,gg_win,standardized_film_goldenglobes,year_film_y,year_ceremony,ceremony_y,category_y,name,film_y,oscar_win,standardized_film_oscars
splendor in the grass,splendor in the grass,1,TRUE,1961,1961,1961,1962,19,Best Performance by an Actress in a Motion Picture - Drama,Natalie Wood,Splendor in the Grass,FALSE,splendor in the grass,1961,1962,34,ACTRESS,Natalie Wood,Splendor in the Grass,FALSE,splendor in the grass
splendor in the grass,splendor in the grass,1,TRUE,1961,1961,1961,1962,19,Best Performance by an Actress in a Motion Picture - Drama,Natalie Wood,Splendor in the Grass,FALSE,splendor in the grass,1961,1962,34,WRITING (Story and Screenplay--written directly for the screen),William Inge,Splendor in the Grass,TRUE,splendor in the grass
splendor in the grass,splendor in the grass,1,TRUE,1961,1961,1961,1962,19,Best Performance by an Actor in a Motion Picture - Drama,Warren Beatty,Splendor in the Grass,FALSE,splendor in the grass,1961,1962,34,ACTRESS,Natalie Wood,Splendor in the Grass,FALSE,splendor in the grass
splendor in the grass,splendor in the grass,1,TRUE,1961,1961,1961,1962,19,Best Performance by an Actor in a Motion Picture - Drama,Warren Beatty,Splendor in the Grass,FALSE,splendor in the grass,1961,1962,34,WRITING (Story and Screenplay--written directly for the screen),William Inge,Splendor in the Grass,TRUE,splendor in the grass
splendor in the grass,splendor in the grass,1,TRUE,1961,1961,1961,1962,19,New Star Of The Year - Actor,Warren Beatty,Splendor in the Grass,TRUE,splendor in the grass,1961,1962,34,ACTRESS,Natalie Wood,Splendor in the Grass,FALSE,splendor in the grass
splendor in the grass,splendor in the grass,1,TRUE,1961,1961,1961,1962,19,New Star Of The Year - Actor,Warren Beatty,Splendor in the Grass,TRUE,splendor in the grass,1961,1962,34,WRITING (Story and Screenplay--written directly for the screen),William Inge,Splendor in the Grass,TRUE,splendor in the grass
juliet of the spirits,juliet of the spirits,1,TRUE,1965,1966,1965,1966,23,Foreign Film - Foreign Language,"Italy, Federico Fellini",Juliet of the Spirits,TRUE,juliet of the spirits,1966,1967,39,ART DIRECTION (Color),Piero Gherardi,Juliet of the Spirits,FALSE,juliet of the spirits
juliet of the spirits,juliet of the spirits,1,TRUE,1965,1966,1965,1966,23,Foreign Film - Foreign Language,"Italy, Federico Fellini",Juliet of the Spirits,TRUE,juliet of the spirits,1966,1967,39,COSTUME DESIGN (Color),Piero Gherardi,Juliet of the Spirits,FALSE,juliet of the spirits
tom sawyer,tom sawyer,1,TRUE,1973,1973,1973,1974,31,Best Original Score - Motion Picture,Richard M. Sherman,Tom Sawyer,FALSE,tom sawyer,1973,1974,46,ART DIRECTION,Art Direction:  Philip Jefferies;  Set Decoration:  Robert de Vestel,Tom Sawyer,FALSE,tom sawyer
tom sawyer,tom sawyer,1,TRUE,1973,1973,1973,1974,31,Best Original Score - Motion Picture,Richard M. Sherman,Tom Sawyer,FALSE,tom sawyer,1973,1974,46,COSTUME DESIGN,Donfeld,Tom Sawyer,FALSE,tom sawyer
